abstrákta	A	abstrakt	A
abstrákta	A	abstraktâ	A
addes	A	addalâš	A
addes	A	adelâš	A
addi	A	addalâš	A
addi	A	adelâš	A
addit	V	adeliđ	V
addit	V	iänáduttiđ	V
addit	V	lijgodiđ	V
addit	V	tipteđ	V
addáladdat	V	adaluhčâđ	V
addáladdat	V	falâluššâđ	V
addáladdat	V	juovâdiđ	V
addáladdat	V	juovâččiđ	V
addáladdat	V	vyebdiđ	V
addálas	A	addalâš	A
addálas	A	adelâš	A
adjektiiva	N	adjektiiv	N
adjektiiva	N	adjektijvâ	N
administrašuvdna	N	haldâttâh	N
administrašuvdna	N	haldâttâs	N
admirála	N	amiraal	N
adopteret	V	adoptiđ	V
adreassa	N	čujottâs	N
adresseret	V	povvâdiđ	V
adresseret	V	čujottiđ	V
adresseret	V	čäittiđ	V
adveanta	N	advent	N
advokáhta	N	äššivyeijee	N
agáiduvvat	V	eliliđ	V
agálaččat	Adv	nuváhánnáá	Adv
agálaš	A	avalâš	A
agálaš	A	nuváhánnáá	A
agás	Adv	avepiäiván	Adv
ahki	N	ahe	N
ahkiduššat	V	ahevâššâđ	V
ahkiduššat	V	aibâšiđ	V
ahkiduššat	V	kuhástuđ	V
ahkiduššat	V	tulkkâđ	V
ahkiduššat	V	valâdiđ	V
ahkiduššat	V	čalmastuđ	V
ahkit	A	ahheev	A
ahkit	A	nurssom	A
ahkit	A	pastettem	A
ahkit	A	tielâs	A
ahkit	A	tulcce	A
ahkit	A	tulkkâdijjee	A
ahkitvuohta	N	ahheevvuotâ	N
ahkitvuohta	N	tulkkâdijjeevuotâ	N
ahkásii	Adv	avepiäiván	Adv
ahte	CC	ansun	CC
ahte	CC	asun	CC
ahte	CC	et	CC
ahte	CC	ete	CC
ahte	CC	it	CC
ahte	CC	luuvâ	CC
ahte	CC	vâi	CC
ahte	CS	ansun	CS
ahte	CS	asun	CS
ahte	CS	et	CS
ahte	CS	ete	CS
ahte	CS	it	CS
ahte	CS	luuvâ	CS
ahte	CS	vâi	CS
aiddo	Adv	-gân	Adv
aiddo	Adv	eidu	Adv
aiddo	Adv	het-het	Adv
aiddo	Adv	loppiittâs	Adv
aiddo	Adv	maadâ	Adv
aiddo	Adv	madduuh	Adv
aiddo	Adv	párásist	Adv
aiddo	Adv	pääččim	Adv
aiddo	Adv	ruotâs	Adv
aiddo	Adv	tietogo	Adv
